Ticker, res
QUBT, Loss
TTWO, Win
EXEL, Loss
DT, Win
RGTI, Tie
ASTS, Tie
AFRM, Tie
MNST, Win
GRPN, Loss
FTNT, Loss
PENN, Win
Z, Win
CPNG, Tie
UPST, Win
NVO, Win
F, Loss
DDOG, Win
CART, Loss
AMGN, Win
EBAY, Tie
MRNA, Win
PYPL, Win
SNAP, Loss
CAVA, Win
DOCS, Loss
LYFT, Loss
TTD, Loss
DKNG, Win
TAP, Loss
RKT, Win
RKLB, Loss
BCE, Loss
CTVA, Win
IONQ, Win
CELH, Win
DXCM, Loss
ZETA, Win
CVS, Loss
HOOD, Win
HUM, Win
ETSY, Win
MSFT, Loss
UPS, Win
GOOG, Win
ENPH, Win
PM, Win
VRT, Loss
BSX, Loss
DOCU, Loss
LEN, Win
FIVE, Win
CHWY, Win
DLTR, Win
LULU, Loss
GME, Tie
